object_id,mjd,magnitude,magnitude_err,filter,magnitude_system,time_system,galactic_extinction_corrected,k_corrected
sn-2005al,53458.27,16.729,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53459.29,17.781,0.014,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53459.29,16.796,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53460.23,17.845,0.014,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53460.23,16.885,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53461.20,17.884,0.014,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53461.20,16.947,0.012,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53464.30,18.034,0.014,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53464.30,17.106,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53465.30,18.088,0.009,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53465.30,17.157,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53466.31,18.107,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53466.31,17.200,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53467.28,18.131,0.008,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53467.28,17.217,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53468.25,18.168,0.009,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53468.25,17.258,0.010,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53473.22,18.304,0.008,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53473.22,17.438,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53474.34,18.322,0.009,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53474.34,17.479,0.012,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53475.23,18.331,0.009,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53475.23,17.512,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53476.32,18.361,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53476.32,17.534,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53477.36,18.398,0.009,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53477.36,17.574,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53478.27,18.410,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53478.27,17.597,0.012,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53479.24,18.446,0.012,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53479.24,17.619,0.014,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53480.25,18.440,0.011,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53480.25,17.643,0.014,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53483.25,18.492,0.025,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53483.25,17.699,0.038,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53490.23,18.616,0.012,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53490.23,17.912,0.014,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53491.23,18.628,0.012,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53491.23,17.951,0.015,csp-dr3-v,Vega,MJD,false,false
sn-2005al,53512.29,18.878,0.047,csp-dr3-b,Vega,MJD,false,false
sn-2005al,53512.29,18.450,0.034,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53436.13,13.859,0.004,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53436.13,13.792,0.003,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53438.10,13.887,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53438.10,13.776,0.005,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53444.15,14.354,0.009,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53444.15,13.986,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53445.14,14.473,0.008,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53445.14,14.053,0.006,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53446.14,14.612,0.006,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53452.07,15.454,0.011,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53452.07,14.553,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53453.06,15.599,0.008,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53453.06,14.630,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53454.08,15.714,0.011,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53454.08,14.704,0.008,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53455.15,15.880,0.011,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53455.15,14.780,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53456.06,15.970,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53456.06,14.855,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53457.07,16.066,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53457.07,14.940,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53458.04,16.181,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53458.04,15.050,0.006,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53459.17,16.307,0.010,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53459.17,15.166,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53460.00,16.393,0.011,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53460.00,15.244,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53461.00,16.453,0.011,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53461.00,15.350,0.008,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53464.03,16.686,0.011,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53464.03,15.569,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53465.03,16.746,0.012,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53465.03,15.639,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53466.02,16.786,0.012,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53466.02,15.680,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53467.13,16.825,0.012,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53467.13,15.727,0.006,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53468.03,16.863,0.011,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53468.03,15.779,0.008,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53472.00,16.967,0.013,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53472.00,15.934,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53472.98,17.012,0.012,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53472.98,15.958,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53474.00,17.020,0.012,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53474.00,15.999,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53474.99,17.057,0.014,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53474.99,16.037,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53475.99,17.049,0.015,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53476.98,17.084,0.013,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53477.98,17.120,0.017,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53477.98,16.122,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53478.98,17.049,0.027,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53478.98,16.097,0.029,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53479.98,17.136,0.017,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53479.98,16.197,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53480.97,17.168,0.014,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53480.97,16.211,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53482.01,17.136,0.022,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53482.01,16.261,0.013,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53483.01,17.187,0.016,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53483.01,16.277,0.011,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53489.00,17.301,0.015,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53489.00,16.450,0.009,csp-dr3-v,Vega,MJD,false,false
sn-2005am,53489.96,17.291,0.019,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53511.96,17.551,0.020,csp-dr3-b,Vega,MJD,false,false
sn-2005am,53511.96,17.079,0.015,csp-dr3-v,Vega,MJD,false,false
